co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi,timestamp
121.65,0.0,0.09,48.27,0.38,13.39,56.86,0.0,3,1775523600
122.08,0.0,0.1,49.03,0.39,13.57,58.38,0.0,3,1775527200
122.55,0.0,0.1,49.81,0.39,13.7,59.07,0.0,3,1775530800
122.64,0.01,0.09,51.1,0.4,13.9,59.45,0.0,3,1775534400
123.01,0.02,0.09,54.25,0.44,14.28,59.92,0.0,3,1775538000
123.06,0.02,0.09,59.31,0.48,14.67,59.81,0.0,3,1775541600
122.84,0.02,0.09,65.35,0.54,15.08,59.79,0.0,3,1775545200
122.23,0.02,0.1,71.17,0.61,15.69,60.65,0.0,3,1775548800
121.63,0.02,0.1,75.67,0.67,16.33,61.74,0.0,3,1775552400
121.49,0.02,0.11,79.89,0.73,17.02,63.24,0.0,3,1775556000
121.24,0.02,0.13,82.91,0.76,17.64,64.89,0.0,3,1775559600
121.16,0.02,0.15,84.86,0.78,18.3,66.76,0.0,3,1775563200
121.54,0.01,0.19,86.11,0.78,19.0,68.84,0.0,3,1775566800
121.57,0.0,0.23,84.85,0.76,19.73,71.59,0.0,3,1775570400
121.86,0.0,0.22,85.09,0.76,20.69,74.66,0.0,3,1775574000
122.64,0.0,0.22,88.38,0.77,21.9,77.83,0.0,3,1775577600
124.29,0.0,0.22,93.46,0.81,23.46,81.52,0.0,3,1775581200
126.64,0.0,0.21,100.17,0.86,25.25,85.17,0.01,3,1775584800
129.14,0.0,0.21,107.42,0.9,27.02,88.49,0.02,3,1775588400
131.74,0.0,0.21,115.18,0.95,28.56,90.7,0.04,3,1775592000
134.28,0.0,0.21,123.38,0.98,30.15,93.04,0.06,3,1775595600
136.8,0.0,0.21,131.68,1.01,31.64,95.04,0.11,3,1775599200
139.02,0.0,0.21,138.62,1.01,32.53,95.41,0.14,3,1775602800
139.95,0.0,0.2,142.91,0.97,32.43,93.41,0.15,4,1775606400
138.97,0.0,0.2,145.46,0.91,31.08,88.1,0.15,4,1775610000
137.57,0.0,0.21,147.24,0.86,29.39,82.67,0.14,4,1775613600
135.81,0.01,0.25,148.47,0.81,27.56,77.55,0.12,4,1775617200
134.18,0.01,0.22,149.15,0.79,25.77,72.9,0.1,4,1775620800
132.67,0.01,0.16,149.49,0.78,24.41,69.72,0.09,4,1775624400
131.89,0.01,0.13,148.86,0.78,23.68,68.48,0.07,4,1775628000
131.51,0.01,0.11,147.49,0.79,23.53,69.14,0.05,4,1775631600
131.59,0.01,0.1,145.88,0.81,23.9,71.25,0.02,4,1775635200
131.91,0.01,0.1,143.71,0.81,24.6,74.11,0.0,4,1775638800
132.89,0.01,0.1,142.47,0.81,25.48,77.53,0.0,4,1775642400
133.58,0.01,0.11,141.79,0.82,26.21,80.39,0.0,4,1775646000
134.33,0.01,0.13,141.72,0.82,26.69,82.34,0.0,4,1775649600
135.39,0.01,0.17,142.53,0.82,27.06,83.83,0.0,4,1775653200
136.3,0.0,0.21,143.02,0.82,27.37,84.9,0.0,4,1775656800
137.08,0.0,0.21,143.71,0.82,27.56,85.48,0.0,4,1775660400
137.3,0.0,0.19,143.5,0.82,27.51,85.23,0.0,4,1775664000
137.76,0.0,0.18,143.42,0.82,27.39,84.66,0.0,4,1775667600
137.93,0.0,0.17,143.23,0.81,27.18,83.94,0.0,4,1775671200
137.48,0.0,0.16,142.1,0.8,26.82,82.86,0.0,4,1775674800
137.29,0.0,0.15,141.19,0.79,26.5,82.04,0.0,4,1775678400
137.15,0.0,0.14,139.92,0.77,26.2,81.38,0.0,3,1775682000
137.44,0.0,0.13,138.46,0.75,25.9,80.62,0.0,3,1775685600
137.62,0.0,0.13,136.95,0.72,25.56,79.61,0.0,3,1775689200
138.03,0.0,0.12,135.4,0.69,25.27,78.7,0.0,3,1775692800
138.13,0.0,0.11,133.72,0.65,25.06,78.09,0.0,3,1775696400
138.25,0.0,0.12,132.47,0.62,25.02,78.02,0.0,3,1775700000
138.48,0.0,0.13,131.82,0.59,25.1,78.24,0.0,3,1775703600
137.78,0.01,0.1,130.97,0.58,25.21,78.45,0.0,3,1775707200
137.24,0.01,0.07,129.9,0.59,25.4,78.76,0.0,3,1775710800
136.36,0.01,0.06,128.23,0.6,25.53,78.85,0.0,3,1775714400
135.12,0.01,0.05,125.49,0.59,25.57,78.39,0.0,3,1775718000
133.61,0.01,0.05,122.59,0.55,25.47,77.63,0.0,3,1775721600
131.89,0.01,0.05,119.63,0.5,25.31,76.87,0.0,3,1775725200
130.47,0.01,0.05,117.52,0.46,25.09,76.18,0.0,3,1775728800
129.22,0.01,0.05,115.61,0.41,24.73,75.12,0.0,3,1775732400
128.06,0.01,0.06,114.79,0.37,24.46,74.27,0.0,3,1775736000
127.66,0.0,0.07,114.87,0.34,24.3,73.68,0.0,3,1775739600
127.26,0.0,0.09,115.17,0.33,24.12,72.99,0.0,3,1775743200
127.28,0.0,0.09,115.37,0.33,23.98,72.28,0.0,3,1775746800
127.25,0.0,0.09,115.32,0.32,23.86,71.53,0.0,3,1775750400
127.69,0.0,0.08,114.58,0.31,23.9,71.2,0.0,3,1775754000
128.52,0.0,0.08,113.78,0.31,23.92,70.76,0.0,3,1775757600
129.25,0.0,0.07,112.4,0.3,23.77,69.91,0.0,3,1775761200
129.79,0.0,0.07,111.38,0.29,23.56,69.0,0.0,3,1775764800
130.25,0.0,0.06,110.53,0.28,23.33,68.22,0.0,3,1775768400
130.71,0.0,0.06,109.42,0.27,23.09,67.58,0.0,3,1775772000
131.27,0.0,0.06,108.39,0.26,22.91,67.31,0.0,3,1775775600
131.69,0.0,0.06,107.58,0.25,22.81,67.46,0.0,3,1775779200
132.25,0.0,0.06,106.97,0.24,22.74,67.7,0.0,3,1775782800
132.68,0.0,0.06,106.12,0.24,22.7,67.91,0.0,3,1775786400
132.91,0.0,0.07,105.24,0.23,22.68,68.03,0.0,3,1775790000
133.21,0.01,0.06,104.11,0.25,22.64,68.01,0.01,3,1775793600
134.2,0.01,0.06,102.78,0.33,22.77,68.29,0.02,3,1775797200
135.86,0.01,0.07,101.39,0.5,23.19,68.86,0.02,3,1775800800
137.41,0.01,0.08,99.66,0.65,23.93,69.37,0.01,3,1775804400
138.14,0.01,0.08,97.36,0.68,24.63,69.39,0.0,3,1775808000
137.2,0.01,0.08,95.06,0.63,24.95,68.78,0.0,3,1775811600
134.71,0.01,0.07,92.97,0.5,24.53,67.28,0.0,3,1775815200
131.42,0.01,0.06,90.67,0.36,23.64,65.43,0.0,3,1775818800
128.57,0.01,0.05,89.12,0.26,22.77,63.98,0.0,3,1775822400
126.73,0.0,0.06,88.91,0.18,21.9,62.56,0.0,3,1775826000
126.41,0.0,0.07,88.15,0.13,21.59,62.17,0.0,3,1775829600
126.71,0.0,0.07,87.59,0.12,21.6,62.45,0.0,3,1775833200
126.97,0.0,0.06,87.43,0.12,21.69,62.88,0.0,3,1775836800
127.52,0.0,0.06,87.42,0.13,21.96,63.77,0.0,3,1775840400
127.89,0.0,0.06,87.66,0.15,22.24,64.88,0.0,3,1775844000
127.98,0.0,0.06,88.91,0.17,22.28,65.45,0.0,3,1775847600
127.89,0.0,0.06,91.26,0.2,22.01,65.44,0.0,3,1775851200
127.94,0.0,0.06,94.7,0.22,21.49,65.0,0.0,3,1775854800
128.98,0.0,0.07,99.07,0.24,20.9,64.61,0.0,3,1775858400
131.29,0.0,0.07,103.51,0.26,20.7,65.22,0.0,3,1775862000
134.43,0.0,0.07,107.69,0.28,21.28,67.81,0.0,3,1775865600
138.46,0.0,0.08,111.07,0.3,22.69,72.06,0.0,3,1775869200
141.86,0.0,0.09,113.02,0.33,24.5,76.42,0.0,3,1775872800
144.32,0.0,0.1,113.68,0.35,26.29,79.99,0.0,3,1775876400
144.89,0.01,0.08,112.78,0.35,27.49,81.45,0.0,3,1775880000
144.81,0.01,0.06,111.01,0.34,28.16,81.25,0.0,3,1775883600
144.14,0.01,0.06,108.17,0.32,28.39,80.15,0.0,3,1775887200
142.76,0.01,0.06,104.52,0.29,28.31,78.86,0.0,3,1775890800
141.28,0.01,0.06,100.79,0.28,28.08,77.8,0.0,3,1775894400
139.79,0.01,0.06,97.6,0.27,27.75,77.52,0.0,3,1775898000
138.97,0.01,0.06,95.28,0.26,27.54,77.96,0.0,3,1775901600
137.89,0.01,0.07,93.21,0.27,27.34,78.07,0.0,3,1775905200
136.75,0.01,0.08,92.0,0.27,27.17,77.9,0.0,3,1775908800
136.38,0.01,0.11,91.81,0.28,27.11,77.64,0.0,3,1775912400
136.03,0.0,0.15,91.77,0.29,27.0,76.98,0.0,3,1775916000
135.79,0.0,0.16,91.99,0.3,26.94,76.3,0.0,3,1775919600
135.41,0.0,0.16,92.49,0.3,26.8,74.76,0.0,3,1775923200
134.95,0.0,0.15,93.57,0.3,26.54,71.74,0.0,3,1775926800
134.25,0.0,0.15,95.11,0.29,26.18,67.41,0.0,3,1775930400
133.02,0.0,0.14,96.71,0.28,25.71,62.9,0.0,3,1775934000
131.63,0.0,0.13,97.01,0.28,25.48,59.98,0.0,3,1775937600
130.55,0.0,0.12,96.83,0.29,25.44,58.46,0.0,3,1775941200
130.56,0.0,0.11,96.87,0.3,25.88,60.48,0.0,3,1775944800
131.11,0.0,0.11,96.84,0.3,27.54,69.11,0.0,3,1775948400
132.34,0.0,0.13,96.96,0.29,31.02,86.25,0.0,3,1775952000
134.31,0.0,0.16,96.64,0.28,35.56,105.85,0.0,4,1775955600
135.85,0.0,0.2,95.51,0.26,39.61,120.66,0.0,4,1775959200
137.1,0.01,0.24,94.34,0.24,42.6,131.16,0.0,4,1775962800
137.97,0.02,0.21,92.86,0.21,43.96,134.6,0.0,4,1775966400
138.7,0.02,0.16,91.59,0.2,44.35,132.97,0.0,4,1775970000
139.25,0.02,0.13,90.37,0.19,44.34,130.2,0.0,4,1775973600
139.37,0.02,0.11,89.05,0.19,44.23,128.29,0.0,4,1775977200
139.06,0.01,0.1,87.04,0.18,44.3,128.42,0.0,4,1775980800
138.76,0.01,0.09,84.95,0.18,44.39,130.3,0.0,4,1775984400
138.58,0.01,0.09,83.82,0.19,44.98,135.02,0.0,4,1775988000
138.24,0.01,0.09,82.28,0.18,45.86,139.15,0.0,4,1775991600
138.02,0.01,0.11,81.84,0.18,46.69,143.33,0.0,4,1775995200
138.12,0.01,0.13,82.6,0.19,47.43,146.85,0.0,4,1775998800
138.65,0.0,0.17,82.94,0.21,48.11,148.47,0.0,4,1776002400
139.24,0.0,0.17,83.56,0.23,48.54,148.82,0.0,4,1776006000
139.6,0.0,0.17,84.2,0.26,48.32,146.83,0.0,4,1776009600
139.37,0.0,0.16,85.07,0.3,47.32,141.91,0.0,4,1776013200
138.85,0.0,0.15,85.81,0.32,45.2,133.58,0.0,4,1776016800
136.3,0.0,0.14,86.09,0.32,41.71,121.34,0.0,4,1776020400
132.18,0.0,0.13,86.3,0.29,37.07,105.01,0.0,4,1776024000
126.0,0.0,0.11,86.81,0.25,31.61,85.08,0.0,3,1776027600
119.49,0.0,0.11,87.68,0.23,26.25,66.62,0.0,3,1776031200
115.31,0.0,0.1,87.33,0.23,22.68,56.86,0.0,3,1776034800
113.71,0.0,0.11,86.03,0.24,21.38,56.57,0.0,3,1776038400
114.02,0.0,0.12,83.93,0.25,22.01,63.42,0.0,3,1776042000
115.39,0.0,0.16,81.43,0.26,23.92,73.84,0.0,3,1776045600
117.29,0.01,0.2,79.03,0.27,26.7,86.68,0.0,3,1776049200
118.95,0.02,0.19,77.15,0.28,29.73,99.03,0.0,3,1776052800
120.97,0.02,0.16,76.15,0.3,32.74,109.24,0.0,4,1776056400
123.03,0.02,0.14,75.27,0.31,34.82,113.1,0.0,4,1776060000
124.43,0.02,0.12,74.25,0.32,34.68,106.56,0.0,4,1776063600
124.74,0.02,0.11,72.77,0.32,32.42,92.45,0.0,3,1776067200
124.08,0.02,0.1,71.21,0.31,29.04,76.25,0.0,3,1776070800
122.81,0.02,0.09,69.91,0.3,25.09,60.95,0.0,3,1776074400
120.91,0.02,0.09,68.83,0.29,21.25,48.86,0.0,2,1776078000
118.7,0.01,0.1,67.92,0.29,18.03,40.71,0.0,2,1776081600
117.4,0.01,0.12,67.82,0.3,15.69,35.93,0.0,2,1776085200
116.64,0.0,0.15,67.96,0.32,14.26,33.93,0.0,2,1776088800
116.67,0.0,0.16,68.8,0.35,13.57,33.71,0.0,2,1776092400
117.33,0.0,0.17,70.07,0.36,13.17,33.89,0.0,2,1776096000
118.09,0.0,0.17,71.37,0.37,12.89,33.91,0.0,2,1776099600
118.91,0.0,0.17,72.62,0.38,12.58,33.26,0.0,2,1776103200
118.98,0.0,0.17,73.53,0.37,12.25,32.1,0.0,2,1776106800
119.22,0.0,0.18,74.77,0.38,12.1,31.27,0.0,2,1776110400
119.41,0.0,0.18,76.03,0.38,12.09,30.87,0.0,2,1776114000
119.14,0.0,0.18,77.31,0.38,11.85,30.11,0.0,2,1776117600
118.16,0.0,0.18,78.72,0.38,11.57,30.4,0.0,2,1776121200
117.03,0.0,0.18,80.64,0.38,11.8,34.74,0.0,2,1776124800
116.53,0.0,0.18,83.7,0.4,13.11,44.94,0.0,2,1776128400
116.81,0.0,0.21,86.72,0.43,15.16,57.2,0.0,3,1776132000
117.53,0.01,0.23,90.07,0.47,17.89,71.26,0.0,3,1776135600
117.94,0.02,0.21,93.52,0.51,21.19,85.93,0.0,3,1776139200
118.42,0.02,0.16,96.72,0.53,24.84,99.33,0.0,3,1776142800
118.67,0.02,0.13,99.16,0.55,28.21,108.39,0.0,4,1776146400
118.69,0.01,0.11,100.91,0.55,30.12,109.51,0.0,4,1776150000
118.74,0.01,0.1,101.83,0.55,29.98,102.72,0.0,4,1776153600
118.99,0.01,0.09,102.37,0.56,28.46,92.1,0.0,3,1776157200
120.24,0.01,0.09,103.58,0.58,26.54,81.41,0.0,3,1776160800
121.92,0.01,0.09,105.41,0.61,25.07,73.62,0.0,3,1776164400
124.14,0.01,0.11,107.73,0.64,24.67,70.11,0.0,3,1776168000
126.59,0.01,0.15,110.6,0.68,24.83,68.52,0.0,3,1776171600
128.97,0.0,0.2,113.62,0.71,25.08,67.27,0.0,3,1776175200
131.14,0.0,0.22,116.36,0.73,25.4,66.39,0.0,3,1776178800
132.22,0.0,0.22,118.24,0.73,25.32,65.03,0.0,3,1776182400
132.93,0.0,0.22,120.05,0.73,24.97,63.59,0.0,3,1776186000
133.28,0.0,0.22,121.71,0.71,24.41,62.1,0.0,3,1776189600
132.88,0.0,0.22,123.02,0.68,23.57,60.03,0.0,3,1776193200
132.42,0.0,0.22,123.97,0.64,22.69,57.72,0.0,3,1776196800
131.37,0.0,0.21,124.12,0.61,21.79,55.2,0.0,3,1776200400
130.32,0.0,0.2,124.15,0.58,21.04,52.88,0.0,3,1776204000
128.67,0.0,0.19,123.53,0.57,20.49,51.34,0.0,3,1776207600
127.2,0.0,0.18,122.47,0.57,20.27,51.32,0.0,3,1776211200
126.48,0.0,0.17,121.66,0.58,20.44,53.53,0.0,3,1776214800
126.15,0.0,0.2,120.78,0.59,20.83,56.72,0.0,3,1776218400
126.14,0.01,0.21,119.81,0.6,21.17,59.71,0.0,3,1776222000
126.01,0.01,0.17,118.9,0.59,21.41,61.92,0.0,3,1776225600
125.82,0.01,0.12,117.9,0.58,21.61,63.91,0.0,3,1776229200
125.68,0.01,0.1,115.96,0.56,21.79,65.29,0.0,3,1776232800
125.4,0.01,0.09,113.81,0.54,21.84,65.36,0.0,3,1776236400
125.06,0.01,0.08,111.66,0.53,21.83,64.71,0.0,3,1776240000
124.81,0.01,0.08,109.69,0.52,21.82,64.32,0.0,3,1776243600
125.01,0.01,0.08,108.48,0.52,21.82,64.66,0.0,3,1776247200
124.31,0.01,0.09,107.32,0.52,21.73,66.05,0.0,3,1776250800
123.02,0.01,0.11,105.87,0.51,21.54,68.54,0.0,3,1776254400
121.33,0.01,0.14,104.62,0.5,21.15,71.4,0.0,3,1776258000
119.53,0.0,0.19,103.5,0.49,20.23,70.08,0.0,3,1776261600
118.54,0.0,0.2,104.08,0.48,18.74,62.91,0.0,3,1776265200
118.69,0.0,0.2,106.98,0.47,17.17,53.52,0.0,3,1776268800
120.05,0.0,0.21,111.4,0.47,16.24,47.58,0.01,3,1776272400
121.24,0.0,0.21,115.93,0.46,16.21,46.82,0.02,3,1776276000
121.78,0.0,0.2,117.68,0.44,17.0,50.33,0.02,3,1776279600
121.59,0.0,0.19,116.22,0.43,18.19,55.9,0.01,3,1776283200
120.71,0.0,0.18,112.96,0.42,19.56,63.1,0.0,3,1776286800
119.76,0.0,0.16,108.53,0.41,21.0,71.23,0.0,3,1776290400
118.75,0.0,0.15,103.86,0.4,22.34,78.33,0.0,3,1776294000
117.79,0.0,0.14,99.29,0.39,23.61,84.55,0.0,3,1776297600
117.02,0.0,0.13,94.99,0.38,25.01,92.63,0.0,3,1776301200
116.6,0.0,0.13,90.6,0.37,26.4,100.21,0.0,4,1776304800
116.04,0.01,0.14,86.17,0.36,27.62,105.7,0.0,4,1776308400
115.04,0.01,0.11,82.35,0.33,28.39,107.37,0.0,4,1776312000
114.59,0.01,0.08,79.72,0.31,28.85,105.87,0.0,4,1776315600
114.27,0.01,0.07,77.59,0.29,28.97,102.14,0.0,4,1776319200
113.87,0.01,0.06,75.9,0.26,28.74,96.91,0.0,3,1776322800
113.26,0.01,0.05,74.62,0.24,28.22,91.04,0.0,3,1776326400
112.89,0.01,0.05,74.27,0.23,27.56,85.26,0.0,3,1776330000
113.08,0.01,0.06,75.34,0.22,26.85,80.15,0.0,3,1776333600
113.35,0.01,0.06,77.13,0.21,26.16,76.1,0.0,3,1776337200
113.97,0.01,0.08,79.77,0.21,25.65,73.64,0.0,3,1776340800
115.21,0.01,0.1,83.06,0.21,25.47,72.77,0.0,3,1776344400
115.99,0.0,0.13,84.8,0.21,25.83,73.44,0.0,3,1776348000
116.68,0.0,0.14,85.39,0.21,26.62,74.86,0.0,3,1776351600
116.69,0.0,0.14,85.26,0.21,27.6,76.35,0.0,3,1776355200
116.74,0.0,0.13,85.02,0.21,28.71,77.96,0.0,3,1776358800
116.52,0.0,0.13,84.49,0.22,30.02,79.8,0.0,3,1776362400
115.72,0.0,0.12,83.37,0.22,31.4,81.61,0.0,3,1776366000
114.97,0.0,0.11,82.65,0.22,32.77,83.09,0.0,3,1776369600
114.19,0.0,0.11,82.11,0.22,33.93,84.0,0.0,3,1776373200
113.59,0.0,0.1,81.82,0.22,34.84,84.19,0.0,3,1776376800
113.12,0.0,0.1,81.64,0.22,35.48,83.86,0.0,3,1776380400
112.86,0.0,0.1,81.64,0.22,35.73,83.16,0.0,3,1776384000
112.93,0.0,0.1,81.79,0.22,35.5,82.02,0.0,3,1776387600
113.0,0.0,0.11,82.6,0.22,34.89,80.56,0.0,3,1776391200
113.27,0.01,0.11,84.38,0.23,33.66,78.39,0.0,3,1776394800
113.45,0.01,0.09,87.34,0.24,32.14,76.16,0.0,3,1776398400
113.44,0.01,0.07,86.36,0.24,32.02,76.94,0.0,3,1776402000
113.2,0.01,0.06,84.24,0.24,32.17,78.56,0.0,3,1776405600
112.39,0.01,0.05,81.79,0.23,32.3,81.0,0.0,3,1776409200
111.5,0.01,0.05,79.76,0.21,32.29,84.15,0.0,3,1776412800
110.58,0.01,0.05,78.59,0.2,32.24,88.14,0.0,3,1776416400
110.06,0.01,0.05,77.7,0.19,32.98,94.95,0.0,3,1776420000
109.46,0.01,0.05,76.12,0.17,34.94,105.45,0.0,4,1776423600
108.92,0.01,0.06,74.77,0.17,38.11,118.99,0.0,4,1776427200
108.79,0.01,0.07,74.73,0.16,42.5,134.82,0.0,4,1776430800
108.8,0.0,0.09,74.88,0.16,48.28,153.5,0.0,4,1776434400
109.19,0.0,0.09,74.92,0.17,55.14,173.89,0.0,4,1776438000
109.41,0.0,0.09,75.31,0.17,61.45,190.32,0.0,4,1776441600
110.27,0.0,0.08,75.73,0.17,66.42,201.56,0.0,5,1776445200
111.25,0.0,0.08,76.18,0.18,69.4,206.87,0.0,5,1776448800
111.83,0.0,0.07,76.67,0.19,69.63,205.41,0.0,5,1776452400
112.61,0.0,0.07,77.79,0.2,67.77,199.57,0.0,4,1776456000
113.24,0.0,0.07,78.95,0.21,64.77,192.06,0.0,4,1776459600
113.88,0.0,0.07,80.43,0.21,61.02,183.73,0.0,4,1776463200
114.38,0.0,0.07,82.14,0.22,57.21,175.57,0.0,4,1776466800
114.77,0.0,0.07,83.72,0.22,54.01,168.89,0.0,4,1776470400
115.17,0.0,0.07,84.94,0.22,51.49,163.4,0.0,4,1776474000
115.46,0.0,0.07,86.29,0.22,49.66,159.12,0.0,4,1776477600
115.88,0.0,0.08,87.45,0.21,48.24,155.66,0.0,4,1776481200
116.2,0.01,0.06,88.5,0.21,47.03,153.05,0.0,4,1776484800
116.54,0.01,0.04,89.58,0.2,46.04,150.73,0.0,4,1776488400
116.88,0.0,0.04,90.23,0.2,45.19,148.69,0.0,4,1776492000
117.17,0.0,0.04,91.08,0.19,44.13,145.67,0.0,4,1776495600
117.28,0.0,0.04,91.81,0.18,42.86,141.01,0.0,4,1776499200
117.5,0.0,0.04,93.08,0.17,41.32,134.71,0.0,4,1776502800
118.47,0.01,0.04,95.6,0.17,39.57,127.61,0.0,4,1776506400
118.81,0.01,0.05,97.87,0.17,37.69,120.1,0.0,4,1776510000
118.58,0.01,0.06,99.76,0.17,35.96,113.51,0.0,4,1776513600
118.41,0.0,0.08,101.39,0.18,34.59,108.79,0.0,4,1776517200
117.66,0.0,0.1,101.6,0.18,33.65,105.69,0.0,4,1776520800
116.89,0.0,0.11,101.09,0.18,33.21,104.2,0.0,4,1776524400
116.23,0.0,0.1,100.23,0.18,33.13,103.73,0.0,4,1776528000
116.02,0.0,0.1,99.7,0.19,33.41,104.03,0.0,4,1776531600
116.19,0.0,0.1,99.14,0.2,33.83,104.38,0.0,4,1776535200
116.41,0.0,0.09,98.47,0.21,34.15,104.47,0.0,4,1776538800
116.66,0.0,0.09,98.57,0.22,34.3,104.36,0.0,4,1776542400
117.06,0.0,0.09,99.16,0.24,34.29,104.04,0.0,4,1776546000
117.72,0.0,0.09,100.42,0.26,34.15,103.58,0.0,4,1776549600
117.98,0.0,0.09,101.5,0.27,33.95,102.86,0.0,4,1776553200
118.22,0.0,0.08,102.58,0.28,33.61,101.72,0.0,4,1776556800
118.49,0.0,0.08,104.2,0.3,33.14,100.04,0.0,4,1776560400
118.85,0.0,0.09,105.09,0.31,32.82,98.54,0.0,3,1776564000
119.16,0.0,0.1,105.41,0.31,32.71,97.46,0.0,3,1776567600
119.38,0.01,0.08,105.04,0.32,32.7,96.49,0.0,3,1776571200
119.63,0.01,0.06,104.65,0.34,32.82,95.66,0.0,3,1776574800
120.37,0.01,0.05,103.96,0.36,33.05,94.9,0.0,3,1776578400
120.99,0.01,0.05,103.2,0.38,33.34,94.12,0.0,3,1776582000
121.91,0.01,0.05,102.58,0.41,33.47,92.85,0.0,3,1776585600
122.62,0.01,0.05,102.57,0.43,33.32,91.12,0.0,3,1776589200
123.74,0.01,0.06,103.6,0.46,32.94,89.0,0.0,3,1776592800
124.44,0.01,0.07,104.53,0.48,32.48,86.79,0.0,3,1776596400
124.53,0.01,0.08,105.62,0.5,31.96,84.7,0.0,3,1776600000
124.96,0.01,0.11,107.61,0.53,31.5,83.09,0.0,3,1776603600
124.73,0.0,0.14,108.97,0.55,31.03,81.75,0.0,3,1776607200
124.1,0.0,0.14,109.83,0.57,30.49,80.36,0.0,3,1776610800
122.93,0.0,0.13,109.88,0.59,29.93,79.02,0.0,3,1776614400
122.04,0.0,0.12,109.93,0.6,29.49,78.14,0.0,3,1776618000
121.15,0.0,0.11,109.85,0.62,29.19,77.63,0.0,3,1776621600
120.2,0.0,0.11,109.11,0.62,29.01,77.27,0.0,3,1776625200
119.42,0.0,0.1,107.93,0.62,29.12,77.49,0.0,3,1776628800
118.96,0.0,0.1,106.66,0.62,29.44,78.13,0.0,3,1776632400
118.81,0.0,0.09,105.78,0.62,29.86,78.97,0.0,3,1776636000
118.69,0.0,0.09,105.3,0.62,30.2,79.75,0.0,3,1776639600
118.86,0.0,0.09,105.42,0.62,30.4,80.38,0.0,3,1776643200
118.95,0.0,0.09,106.16,0.64,30.34,80.58,0.0,3,1776646800
119.1,0.0,0.1,106.94,0.65,30.22,80.57,0.0,3,1776650400
118.75,0.0,0.1,107.06,0.64,30.12,80.54,0.0,3,1776654000
117.85,0.01,0.08,106.07,0.61,30.06,80.48,0.0,3,1776657600
116.89,0.01,0.06,104.02,0.56,30.16,80.85,0.0,3,1776661200
115.64,0.01,0.05,100.71,0.5,30.44,81.67,0.0,3,1776664800
114.01,0.01,0.04,96.47,0.43,30.89,83.17,0.0,3,1776668400
112.42,0.01,0.04,91.79,0.36,31.43,85.26,0.0,3,1776672000
111.01,0.01,0.04,87.3,0.31,32.08,87.86,0.0,3,1776675600
110.27,0.01,0.04,83.29,0.27,33.1,91.65,0.0,3,1776679200
109.52,0.01,0.04,79.27,0.23,34.08,95.8,0.0,3,1776682800
109.12,0.01,0.05,76.24,0.22,34.87,99.73,0.0,3,1776686400
109.15,0.01,0.06,74.39,0.21,35.33,103.29,0.0,4,1776690000
109.21,0.0,0.08,72.81,0.21,35.43,106.08,0.0,4,1776693600
109.28,0.0,0.09,70.97,0.22,35.2,108.5,0.0,4,1776697200
109.25,0.0,0.08,69.35,0.22,34.75,109.95,0.0,4,1776700800
109.51,0.0,0.08,67.97,0.23,34.28,111.15,0.0,4,1776704400
109.84,0.0,0.08,66.9,0.24,33.77,111.8,0.0,4,1776708000
110.01,0.0,0.08,66.48,0.26,33.23,111.51,0.0,4,1776711600
110.29,0.0,0.07,66.61,0.28,32.91,110.73,0.0,4,1776715200
110.68,0.0,0.07,67.35,0.3,32.62,109.22,0.0,4,1776718800
110.81,0.0,0.07,68.64,0.32,32.33,107.2,0.0,4,1776722400
110.8,0.0,0.07,69.63,0.34,32.08,104.99,0.0,4,1776726000
110.69,0.0,0.07,69.71,0.34,31.89,102.83,0.0,4,1776729600
110.56,0.0,0.07,70.34,0.35,31.74,100.83,0.0,4,1776733200
110.53,0.0,0.07,71.92,0.36,31.59,98.93,0.0,3,1776736800
110.5,0.0,0.07,73.67,0.37,31.46,97.47,0.0,3,1776740400
110.09,0.01,0.05,75.48,0.39,31.15,96.05,0.0,3,1776744000
109.8,0.01,0.04,76.16,0.39,30.86,95.11,0.0,3,1776747600
109.3,0.01,0.03,74.92,0.38,30.53,94.4,0.0,3,1776751200
108.37,0.01,0.03,71.94,0.37,30.09,93.74,0.0,3,1776754800
107.15,0.01,0.03,68.0,0.34,29.5,93.09,0.0,3,1776758400
105.58,0.01,0.03,63.94,0.31,28.74,92.28,0.0,3,1776762000
104.32,0.01,0.04,59.91,0.28,27.87,91.31,0.0,3,1776765600
102.69,0.01,0.04,56.13,0.25,26.73,89.75,0.0,3,1776769200
101.1,0.01,0.05,53.32,0.23,25.64,88.04,0.0,3,1776772800
100.06,0.01,0.06,51.56,0.21,24.75,86.63,0.0,3,1776776400
99.17,0.0,0.08,50.16,0.2,23.97,85.15,0.0,3,1776780000
98.57,0.0,0.08,49.09,0.2,23.35,83.81,0.0,3,1776783600
98.12,0.0,0.08,48.55,0.2,22.96,82.64,0.0,3,1776787200
97.94,0.0,0.08,48.25,0.2,22.76,81.97,0.0,3,1776790800
97.94,0.0,0.08,48.09,0.2,22.67,81.64,0.0,3,1776794400
97.69,0.0,0.08,48.17,0.21,22.6,81.65,0.0,3,1776798000
97.84,0.0,0.08,48.73,0.21,22.62,82.14,0.0,3,1776801600
97.94,0.0,0.08,49.52,0.22,22.69,82.7,0.0,3,1776805200
98.21,0.0,0.08,50.36,0.22,22.79,83.41,0.0,3,1776808800
